Causa de muerte,CCAA,Año,TME
Todas las enfermedades del sistema circulatorio,Cantabria,2019,0.28196086589494207
Todas las enfermedades del sistema respiratorio,Cantabria,2019,0.09679510213344658
Todas las enfermedades del sistema digestivo,Cantabria,2019,0.05140627981865102
Todas las enfermedades de la piel y del tejido subcutáneo,Cantabria,2019,0.003094692430554242
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Cantabria,2019,0.013410333865735051
Todas las enfermedades del sistema genitourinario,Cantabria,2019,0.03232234316356653
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Cantabria,2019,0.0
Todas las afecciones originadas en el periodo perinatal,Cantabria,2019,0.00034385471450602687
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Cantabria,2019,0.0025789103587952017
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Cantabria,2019,0.01942779136959052
Todas las causas externas de mortalidad,Cantabria,2019,0.038511728024675014
Todas las causas,Castilla y León,2019,1.1927817577779596
Todas las enfermedades infecciosas y parasitarias,Castilla y León,2019,0.018855911348974325
Todos los tumores,Castilla y León,2019,0.3186399820910375
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Castilla y León,2019,0.006645255100960115
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Castilla y León,2019,0.04589379304100579
Todos los trastornos mentales y del comportamiento,Castilla y León,2019,0.06001496013054604
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Castilla y León,2019,0.06715860936407816
Todas las enfermedades del sistema circulatorio,Castilla y León,2019,0.33471319286648477
Todas las enfermedades del sistema respiratorio,Castilla y León,2019,0.1453234224891215
Todas las enfermedades del sistema digestivo,Castilla y León,2019,0.06271459501531108
Todas las enfermedades de la piel y del tejido subcutáneo,Castilla y León,2019,0.006686787945341116
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Castilla y León,2019,0.01657160490801929
Todas las enfermedades del sistema genitourinario,Castilla y León,2019,0.040328391893951696
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Castilla y León,2019,0.0
Todas las afecciones originadas en el periodo perinatal,Castilla y León,2019,0.0011213867982870194
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Castilla y León,2019,0.0015782480864780272
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Castilla y León,2019,0.022386203121359388
Todas las causas externas de mortalidad,Castilla y León,2019,0.04414941357700376
Todas las causas,Castilla La Mancha,2019,0.9566671597349619
Todas las enfermedades infecciosas y parasitarias,Castilla La Mancha,2019,0.010909750319061053
Todos los tumores,Castilla La Mancha,2019,0.23863850247459675
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Castilla La Mancha,2019,0.004619443828791617
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Castilla La Mancha,2019,0.029682383750958902
Todos los trastornos mentales y del comportamiento,Castilla La Mancha,2019,0.050224165883245034
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Castilla La Mancha,2019,0.05548246896495463
Todas las enfermedades del sistema circulatorio,Castilla La Mancha,2019,0.26109686236563684
Todas las enfermedades del sistema respiratorio,Castilla La Mancha,2019,0.12703470529176947
Todas las enfermedades del sistema digestivo,Castilla La Mancha,2019,0.05636704331514878
Todas las enfermedades de la piel y del tejido subcutáneo,Castilla La Mancha,2019,0.0058971623346275965
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Castilla La Mancha,2019,0.013072043175091174
Todas las enfermedades del sistema genitourinario,Castilla La Mancha,2019,0.03680812157196725
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Castilla La Mancha,2019,4.914301945522997e-05
Todas las afecciones originadas en el periodo perinatal,Castilla La Mancha,2019,0.0013268615252912093
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Castilla La Mancha,2019,0.0018182917198435091
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Castilla La Mancha,2019,0.025161225961077744
Todas las causas externas de mortalidad,Castilla La Mancha,2019,0.03847898423344507
Todas las causas,Cataluña,2019,0.8530707348115294
Todas las enfermedades infecciosas y parasitarias,Cataluña,2019,0.012225051972991225
Todos los tumores,Cataluña,2019,0.23407340053367306
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Cataluña,2019,0.004903237061599724
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Cataluña,2019,0.029604450183243616
Todos los trastornos mentales y del comportamiento,Cataluña,2019,0.05433209584969397
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Cataluña,2019,0.05918246782168077
Todas las enfermedades del sistema circulatorio,Cataluña,2019,0.21973374497616444
Todas las enfermedades del sistema respiratorio,Cataluña,2019,0.09070327750339327
Todas las enfermedades del sistema digestivo,Cataluña,2019,0.04367978029268757
Todas las enfermedades de la piel y del tejido subcutáneo,Cataluña,2019,0.002563956846227349
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Cataluña,2019,0.015238362080928521
Todas las enfermedades del sistema genitourinario,Cataluña,2019,0.028956852835485165
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Cataluña,2019,1.3216272403233757e-05
Todas las afecciones originadas en el periodo perinatal,Cataluña,2019,0.0012951946955169083
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Cataluña,2019,0.0016652503228074536
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Cataluña,2019,0.01720758666901035
Todas las causas externas de mortalidad,Cataluña,2019,0.03769280889402268
Todas las causas,Comunidad Valenciana,2019,0.8847492316032521
Todas las enfermedades infecciosas y parasitarias,Comunidad Valenciana,2019,0.013990036922843138
Todos los tumores,Comunidad Valenciana,2019,0.23777032580504523
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Comunidad Valenciana,2019,0.003738716763863252
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Comunidad Valenciana,2019,0.03742736889415794
Todos los trastornos mentales y del comportamiento,Comunidad Valenciana,2019,0.04126658879683471
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Comunidad Valenciana,2019,0.06512603395116633
Todas las enfermedades del sistema circulatorio,Comunidad Valenciana,2019,0.25356941922653187
Todas las enfermedades del sistema respiratorio,Comunidad Valenciana,2019,0.09079453560414145
Todas las enfermedades del sistema digestivo,Comunidad Valenciana,2019,0.04325655094534257
Todas las enfermedades de la piel y del tejido subcutáneo,Comunidad Valenciana,2019,0.0036382136250497237
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Comunidad Valenciana,2019,0.009105584376505663
Todas las enfermedades del sistema genitourinario,Comunidad Valenciana,2019,0.03288462701978646
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Comunidad Valenciana,2019,0.0
Todas las afecciones originadas en el periodo perinatal,Comunidad Valenciana,2019,0.0008643269937963433
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Comunidad Valenciana,2019,0.0015075470822029243
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Comunidad Valenciana,2019,0.017286539875926866
Todas las causas externas de mortalidad,Comunidad Valenciana,2019,0.03252281572005775
Todas las causas,Extremadura,2019,1.0569500968628454
Todas las enfermedades infecciosas y parasitarias,Extremadura,2019,0.01351574584390815
Todos los tumores,Extremadura,2019,0.2842999594527625
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Extremadura,2019,0.005068404691465558
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Extremadura,2019,0.030316568802655094
Todos los trastornos mentales y del comportamiento,Extremadura,2019,0.0534998272988031
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Extremadura,2019,0.05387526468335611
Todas las enfermedades del sistema circulatorio,Extremadura,2019,0.29058853564402526
Todas las enfermedades del sistema respiratorio,Extremadura,2019,0.13853639490005856
Todas las enfermedades del sistema digestivo,Extremadura,2019,0.05321824926038835
Todas las enfermedades de la piel y del tejido subcutáneo,Extremadura,2019,0.004129811230083047
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Extremadura,2019,0.013609605190046404
Todas las enfermedades del sistema genitourinario,Extremadura,2019,0.03707444172460917
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Extremadura,2019,0.0
Todas las afecciones originadas en el periodo perinatal,Extremadura,2019,0.0007508747691060085
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Extremadura,2019,0.0016894682304885189
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Extremadura,2019,0.04608493895388127
Todas las causas externas de mortalidad,Extremadura,2019,0.0306920061872081
Todas las causas,Galicia,2019,1.157884952865106
Todas las enfermedades infecciosas y parasitarias,Galicia,2019,0.015404891275165797
Todos los tumores,Galicia,2019,0.3096531270262894
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Galicia,2019,0.005850896205471625
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Galicia,2019,0.023514677787813177
Todos los trastornos mentales y del comportamiento,Galicia,2019,0.09235528567371033
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Galicia,2019,0.06284158772585663
Todas las enfermedades del sistema circulatorio,Galicia,2019,0.34124056033810773
Todas las enfermedades del sistema respiratorio,Galicia,2019,0.13138594770261597
Todas las enfermedades del sistema digestivo,Galicia,2019,0.05784240425915619
Todas las enfermedades de la piel y del tejido subcutáneo,Galicia,2019,0.005147307421269341
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Galicia,2019,0.0062582370805361045
Todas las enfermedades del sistema genitourinario,Galicia,2019,0.03573490403974758
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Galicia,2019,0.0
Todas las afecciones originadas en el periodo perinatal,Galicia,2019,0.000555464829633382
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Galicia,2019,0.0017774874548268228
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Galicia,2019,0.02273702702632644
Todas las causas externas de mortalidad,Galicia,2019,0.04558514701857956
Todas las causas,Madrid,2019,0.7101400134424468
Todas las enfermedades infecciosas y parasitarias,Madrid,2019,0.00948559755048747
Todos los tumores,Madrid,2019,0.20449743798527112
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Madrid,2019,0.0027252272327590987
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Madrid,2019,0.015643707706280128
Todos los trastornos mentales y del comportamiento,Madrid,2019,0.03833385930720809
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Madrid,2019,0.04477804303992021
Todas las enfermedades del sistema circulatorio,Madrid,2019,0.17664290549574443
Todas las enfermedades del sistema respiratorio,Madrid,2019,0.10042688200278002
Todas las enfermedades del sistema digestivo,Madrid,2019,0.039207136542014874
Todas las enfermedades de la piel y del tejido subcutáneo,Madrid,2019,0.0035081654432755245
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Madrid,2019,0.0067603703177283704
Todas las enfermedades del sistema genitourinario,Madrid,2019,0.02363871135597671
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Madrid,2019,0.0
Todas las afecciones originadas en el periodo perinatal,Madrid,2019,0.0009937292671939255
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Madrid,2019,0.0013550853643553528
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Madrid,2019,0.016772945509909588
Todas las causas externas de mortalidad,Madrid,2019,0.02537020932154188
Todas las causas,Murcia,2019,0.7775954634887068
Todas las enfermedades infecciosas y parasitarias,Murcia,2019,0.01095678255088686
Todos los tumores,Murcia,2019,0.19991086691004614
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Murcia,2019,0.0036970738668636646
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Murcia,2019,0.027963322338459717
Todos los trastornos mentales y del comportamiento,Murcia,2019,0.03455083577396225
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Murcia,2019,0.05995981616804343
Todas las enfermedades del sistema circulatorio,Murcia,2019,0.22740365257454143
Todas las enfermedades del sistema respiratorio,Murcia,2019,0.09034304140117755
Todas las enfermedades del sistema digestivo,Murcia,2019,0.042751617805914376
Todas las enfermedades de la piel y del tejido subcutáneo,Murcia,2019,0.003629854342011598
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Murcia,2019,0.008805757755620728
Todas las enfermedades del sistema genitourinario,Murcia,2019,0.03179483525502752
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Murcia,2019,0.0
Todas las afecciones originadas en el periodo perinatal,Murcia,2019,0.002419902894674399
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Murcia,2019,0.002352683369822332
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Murcia,2019,0.0037642933917157316
Todas las causas externas de mortalidad,Murcia,2019,0.02729112708993905
Todas las causas,Navarra,2019,0.8566865554984568
Todas las enfermedades infecciosas y parasitarias,Navarra,2019,0.012154855941878248
Todos los tumores,Navarra,2019,0.23925064543823643
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Navarra,2019,0.007692946798657119
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Navarra,2019,0.02569444230751478
Todos los trastornos mentales y del comportamiento,Navarra,2019,0.06077427970939125
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Navarra,2019,0.07492930181892035
Todas las enfermedades del sistema circulatorio,Navarra,2019,0.22386475184092217
Todas las enfermedades del sistema respiratorio,Navarra,2019,0.08139137712979232
Todas las enfermedades del sistema digestivo,Navarra,2019,0.04308050207247987
Todas las enfermedades de la piel y del tejido subcutáneo,Navarra,2019,0.004308050207247987
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Navarra,2019,0.012000997005905106
Todas las enfermedades del sistema genitourinario,Navarra,2019,0.025848301243487918
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Navarra,2019,0.0
Todas las afecciones originadas en el periodo perinatal,Navarra,2019,0.0010770125518119967
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Navarra,2019,0.0021540251036239935
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Navarra,2019,0.0032310376554359897
Todas las causas externas de mortalidad,Navarra,2019,0.03923402867315131
Todas las causas,País Vasco,2019,0.9902290300659357
Todas las enfermedades infecciosas y parasitarias,País Vasco,2019,0.014142193325619409
Todos los tumores,País Vasco,2019,0.2897312983268132
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",País Vasco,2019,0.005418113027347696
"Todas las enfermedades endocrinas, nutricionales y metabólicas",País Vasco,2019,0.029845537862508494
Todos los trastornos mentales y del comportamiento,País Vasco,2019,0.07690965526107958
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,País Vasco,2019,0.06442044557092218
Todas las enfermedades del sistema circulatorio,País Vasco,2019,0.25814094440465035
Todas las enfermedades del sistema respiratorio,País Vasco,2019,0.0990871857035282
Todas las enfermedades del sistema digestivo,País Vasco,2019,0.043666317703454735
Todas las enfermedades de la piel y del tejido subcutáneo,País Vasco,2019,0.0031223024225393503
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,País Vasco,2019,0.01189229893290723
Todas las enfermedades del sistema genitourinario,País Vasco,2019,0.02842213528752732
"Todos los fallecimientos a causa del embarazo, parto o puerperio",País Vasco,2019,4.591621209616691e-05
Todas las afecciones originadas en el periodo perinatal,País Vasco,2019,0.0011938215145003398
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",País Vasco,2019,0.0018366484838466765
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",País Vasco,2019,0.028376219075431156
Todas las causas externas de mortalidad,País Vasco,2019,0.03397799695116352
Todas las causas,La Rioja,2019,1.0036004605017683
Todas las enfermedades infecciosas y parasitarias,La Rioja,2019,0.018177701381824212
Todos los tumores,La Rioja,2019,0.2723466136855768
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",La Rioja,2019,0.004464698585009455
"Todas las enfermedades endocrinas, nutricionales y metabólicas",La Rioja,2019,0.033166332345784526
Todos los trastornos mentales y del comportamiento,La Rioja,2019,0.06027343089762765
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,La Rioja,2019,0.08164020269731576
Todas las enfermedades del sistema circulatorio,La Rioja,2019,0.29148103619276017
Todas las enfermedades del sistema respiratorio,La Rioja,2019,0.09949899703735358
Todas las enfermedades del sistema digestivo,La Rioja,2019,0.047198242184385675
Todas las enfermedades de la piel y del tejido subcutáneo,La Rioja,2019,0.006378140835727794
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,La Rioja,2019,0.014669723922173925
Todas las enfermedades del sistema genitourinario,La Rioja,2019,0.03029616896970702
"Todos los fallecimientos a causa del embarazo, parto o puerperio",La Rioja,2019,0.0
Todas las afecciones originadas en el periodo perinatal,La Rioja,2019,0.000956721125359169
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",La Rioja,2019,0.0025512563342911174
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",La Rioja,2019,0.008610490128232522
Todas las causas externas de mortalidad,La Rioja,2019,0.03189070417863897
Todas las causas,Ceuta,2019,0.6330382298506407
Todas las enfermedades infecciosas y parasitarias,Ceuta,2019,0.008251894988742058
Todos los tumores,Ceuta,2019,0.15207063622110362
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Ceuta,2019,0.0023576842824977306
"Todas las enfermedades endocrinas, nutricionales y metabólicas",Ceuta,2019,0.02004031640123071
Todos los trastornos mentales y del comportamiento,Ceuta,2019,0.025934527107475038
Todas las enfermedades del sistema nervioso y de los órganos de los sentidos,Ceuta,2019,0.04125947494371029
Todas las enfermedades del sistema circulatorio,Ceuta,2019,0.18507821617607187
Todas las enfermedades del sistema respiratorio,Ceuta,2019,0.06719400205118532
Todas las enfermedades del sistema digestivo,Ceuta,2019,0.038901790661212556
Todas las enfermedades de la piel y del tejido subcutáneo,Ceuta,2019,0.0023576842824977306
Todas las enfermedades del sistema osteomuscular y del tejido conjuntivo,Ceuta,2019,0.0058942107062443265
Todas las enfermedades del sistema genitourinario,Ceuta,2019,0.025934527107475038
"Todos los fallecimientos a causa del embarazo, parto o puerperio",Ceuta,2019,0.0
Todas las afecciones originadas en el periodo perinatal,Ceuta,2019,0.0023576842824977306
"Todas las malformaciones congénitas, deformidades y anomalías cromosómicas",Ceuta,2019,0.0
"Todos los síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Ceuta,2019,0.029471053531221633
Todas las causas externas de mortalidad,Ceuta,2019,0.025934527107475038
Todas las causas,Melilla,2019,0.5797683288266481
Todas las enfermedades infecciosas y parasitarias,Melilla,2019,0.020073445193590667
Todos los tumores,Melilla,2019,0.15586439797376284
"Todas las enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad",Melilla,2019,0.0035423726812218825
